"","Ch1","Ch2","Cluster1Score","Cluster2Score","Cluster3Score","q","cluster"
"9704",3881.04761,3339.29053,0.00649100453635101,1.002363619501,0.958109861174931,75.4688480739539,"1"
"9705",3881.08813,3198.20728,0.00100801984505768,0.964758269142763,0.912385847229319,465.189979189769,"1"
"9706",3881.10327,2969.96558,0.00731916352637593,0.90697914388487,0.843260031533114,59.7035239947785,"1"
"9707",3881.112,3089.20972,0.00168138386528133,0.936690746865141,0.878625352077509,269.637831442114,"1"
"9708",3881.161,3207.05078,0.00114035944080276,0.967042870647419,0.915165600714669,412.321450404445,"1"
"9709",3881.217,3252.03174,0.00225182433108511,0.978877050537156,0.929523352693879,211.730998125713,"1"
"9710",3881.24023,3080.403,0.00192320132580999,0.934410329109376,0.875925613195942,235.082842174067,"1"
"9711",3881.25073,3005.19824,0.00512224703291449,0.915594587326532,0.853504145073321,86.2375203360667,"1"
"9712",3881.27466,3191.927,0.000929178358967822,0.963043204964249,0.910356388022433,503.6486886004,"1"
"9713",3881.34937,3102.69629,0.00136655598469015,0.940021677482679,0.882668624123486,333.115811208623,"1"
"9714",3881.35327,3274.53833,0.00307942490667749,0.984808820421305,0.936766230726047,155.903615468913,"1"
"9715",3881.36255,3172.50024,0.000779671482665118,0.95795340094515,0.904232384774721,596.608976850851,"1"
"9716",3881.38013,3240.27417,0.0018886602696439,0.975697517239892,0.925702191507363,251.512297400519,"1"
"9717",3881.39063,3139.4353,0.000838871744308895,0.949401979548393,0.89393971835248,548.854150831961,"1"
"9718",3881.41528,3067.64429,0.00232346243188579,0.931120980380224,0.872033028640549,193.807495891544,"1"
"9719",3881.44067,3315.87134,0.00507621205159626,0.995863369293663,0.950260703979113,95.7926632300089,"1"
"9720",3881.474,3294.54639,0.0039677689979673,0.990112585347368,0.943253642136188,121.74540085226,"1"
"9721",3881.49072,2897.78516,0.0132295047748325,0.889340811404273,0.822550871906696,32.3006394414004,"1"
"9722",3881.532,3322.20459,0.00543472535738889,0.997536014335834,0.952325227765373,89.6463402664506,"1"
"9723",3881.64038,3146.95874,0.000790040543816238,0.951238304023461,0.896205913036502,584.085495712207,"1"
"9724",3881.69019,3029.411,0.00387441520634179,0.921433964374699,0.86054305034272,114.849354769798,"1"
"9725",3881.75244,3132.80127,0.000897730001852408,0.947553545309034,0.891800013382042,511.752860751753,"1"
"9726",3881.76514,3067.72437,0.00232282896511132,0.931002864161815,0.871970226133932,193.841247113024,"1"
"9727",3881.77979,3293.3064,0.00390256593022481,0.989654891836314,0.94276860928497,123.718979795534,"1"
"9728",3881.87842,3066.176,0.0023759999434568,0.930568148798372,0.871476279642989,189.405172139412,"1"
"9729",3881.94165,2975.21069,0.00697700622161412,0.907938025833012,0.844577405791669,62.7140291183138,"1"
"9730",3881.96338,3163.42432,0.000753905816326459,0.955360359701792,0.90124427568293,615.138929239657,"1"
"9731",3881.97925,3074.12476,0.00211614911955048,0.932531903499934,0.873845411475771,213.178582516141,"1"
"9732",3881.98218,3079.47021,0.00195380142582302,0.933880699957729,0.875458805565258,231.273901847588,"1"
"9733",3881.9873,3040.12573,0.00338978097369269,0.923990707492412,0.863653681937881,131.690505429502,"1"
"9734",3882.02124,3085.63477,0.00177948899833753,0.935424591452089,0.877314596209545,254.409607028793,"1"
"9735",3882.05054,2944.85913,0.00917724355596519,0.900486020058238,0.83579229523789,47.2328051644751,"1"
"9736",3882.0896,3111.35742,0.00119916796805951,0.941933619475795,0.885128652618692,380.533879431793,"1"
"9737",3882.11963,3169.09326,0.000763550615418367,0.95676583218348,0.902974559458205,608.402537844337,"1"
"9738",3882.20117,3313.38745,0.00492256774292495,0.994881372359561,0.949243821296641,98.6809106605158,"1"
"9739",3882.20142,3059.56836,0.00261196060104224,0.928778525026709,0.869411452906404,171.923533125161,"1"
"9740",3882.46069,3062.1106,0.00252176397762244,0.929315215831352,0.870110117159725,178.196430099593,"1"
"9741",3882.4834,3287.3877,0.00361406099269638,0.987781445956278,0.940653266237159,133.31837584783,"1"
"9742",3882.56982,3126.27515,0.000971361648697852,0.945554540940333,0.889584219126617,471.871550293472,"1"
"9743",3882.57837,3043.426,0.00325299213987194,0.924583121106849,0.864490964772593,137.339379329386,"1"
"9744",3882.61572,3204.34644,0.00108330212526223,0.965747479637848,0.913936788465605,433.456221476737,"1"
"9745",3882.61646,3134.60547,0.000878664462790546,0.947671579615635,0.892138871288231,522.990952010156,"1"
"9746",3882.682,3224.96777,0.00147860234476538,0.97113245828765,0.920471828895037,319.600382986362,"1"
"9747",3882.70459,3017.06079,0.00449905736064026,0.917964692111971,0.85664024311343,98.4920631138586,"1"
"9748",3882.71265,3033.20825,0.00370693428893935,0.92197862473398,0.861417902671337,120.13566081222,"1"
"9749",3882.766,3146.74585,0.000787940335494746,0.950733132878693,0.895855514305846,585.373565194803,"1"
"9750",3882.76782,3255.03223,0.00232894817981299,0.979042378381432,0.930089341472939,204.800229796308,"1"
"9751",3882.77686,3106.23438,0.00129693729633498,0.940354823516365,0.883390799690734,351.205562909847,"1"
"9752",3882.83716,3027.41919,0.00398144886871084,0.920487393254137,0.859670257606328,111.64779196532,"1"
"9753",3882.83862,3024.27246,0.00413508455161885,0.919703853602503,0.858738232829163,107.395153673152,"1"
"9754",3882.855,3096.413,0.00150957749884878,0.937826609724267,0.880378396554955,300.810966537937,"1"
"9755",3882.85986,2986.99268,0.00622675637970565,0.91047394351748,0.847781862467267,70.5030179570621,"1"
"9756",3882.87036,3149.19653,0.000775789243437199,0.951322723386774,0.896589039901582,594.971704794018,"1"
"9757",3882.88916,3148.66,0.000778143910588057,0.951176944760113,0.896417865798764,593.06891500502,"1"
"9758",3882.906,3301.522,0.00428352555067594,0.991399133875024,0.945163281781679,112.959436196746,"1"
"9759",3882.99414,3337.47485,0.00632832468489911,1.0010691826386,0.956995061303313,77.3139920829203,"1"
"9760",3883.01514,3137.81372,0.000848916530211381,0.948336149037164,0.893028854442924,541.77994138574,"1"
"9761",3883.01782,3137.32935,0.000853077598879055,0.948210663977467,0.892878569777101,539.055967904166,"1"
"9762",3883.05151,3362.18726,0.00800347630597969,1.0077710640987,0.965214293922516,61.6003391650441,"1"
"9763",3883.11865,3204.47241,0.00108063759508161,0.965577484328425,0.913848030088592,434.466123850629,"1"
